"filename", "language", "Processing", "Markdown", "comment", "blank", "total"
"d:\proyFinalPOO\AccessibilityManager.pde", "Processing", 354, 0, 18, 63, 435
"d:\proyFinalPOO\Button.pde", "Processing", 194, 0, 41, 38, 273
"d:\proyFinalPOO\CleanupManager.pde", "Processing", 18, 0, 9, 6, 33
"d:\proyFinalPOO\Collectible.pde", "Processing", 354, 0, 29, 63, 446
"d:\proyFinalPOO\CollectibleManager.pde", "Processing", 192, 0, 30, 43, 265
"d:\proyFinalPOO\DebugSystem.pde", "Processing", 418, 0, 94, 101, 613
"d:\proyFinalPOO\EcoSystem.pde", "Processing", 245, 0, 22, 49, 316
"d:\proyFinalPOO\FloatingText.pde", "Processing", 88, 0, 17, 21, 126
"d:\proyFinalPOO\Game.pde", "Processing", 549, 0, 148, 153, 850
"d:\proyFinalPOO\GameConstants.pde", "Processing", 10, 0, 8, 2, 20
"d:\proyFinalPOO\GameInitializer.pde", "Processing", 59, 0, 17, 14, 90
"d:\proyFinalPOO\GameManager.pde", "Processing", 85, 0, 23, 25, 133
"d:\proyFinalPOO\GameRenderer.pde", "Processing", 105, 0, 14, 19, 138
"d:\proyFinalPOO\GameStateManager.pde", "Processing", 28, 0, 7, 8, 43
"d:\proyFinalPOO\InputHandler.pde", "Processing", 280, 0, 41, 45, 366
"d:\proyFinalPOO\Menu.pde", "Processing", 665, 0, 181, 138, 984
"d:\proyFinalPOO\Obstacle.pde", "Processing", 257, 0, 55, 51, 363
"d:\proyFinalPOO\ObstacleManager.pde", "Processing", 122, 0, 20, 26, 168
"d:\proyFinalPOO\ObstacleTypes.pde", "Processing", 24, 0, 8, 6, 38
"d:\proyFinalPOO\Platform.pde", "Processing", 161, 0, 51, 39, 251
"d:\proyFinalPOO\PlatformManager.pde", "Processing", 104, 0, 20, 26, 150
"d:\proyFinalPOO\PlatformTypes.pde", "Processing", 72, 0, 17, 21, 110
"d:\proyFinalPOO\Player.pde", "Processing", 401, 0, 63, 81, 545
"d:\proyFinalPOO\PowerUp.pde", "Processing", 149, 0, 26, 35, 210
"d:\proyFinalPOO\README.md", "Markdown", 0, 50, 0, 23, 73
"d:\proyFinalPOO\ScoreManager.pde", "Processing", 101, 0, 20, 26, 147
"d:\proyFinalPOO\SoundManager.pde", "Processing", 122, 0, 126, 45, 293
"d:\proyFinalPOO\VideoIntroMenu.pde", "Processing", 435, 0, 128, 87, 650
"d:\proyFinalPOO\Weather.pde", "Processing", 374, 0, 70, 73, 517
"d:\proyFinalPOO\proyFinalPOO.pde", "Processing", 35, 0, 8, 12, 55
"Total", "-", 6001, 50, 1311, 1339, 8701
